start	end	text
450610	458579	подавать им претензию, а затем подавать исковое заявление.
460982	463264	Да, спасибо большое, мы вас слышали.
463344	470592	Анна.
470612	473495	Да, спасибо большое.
473676	474036	Я хочу...
474573	493290	Начать заново, коллеги, я с вами относительно вашего мнения согласна, но давайте прям четко и по договору, мной было проанализировано ряд документов, между управляющей компанией, в данном случае же в случае обслуживающей, и жильцами ранее были заключены индивидуальные договоры.
493726	502614	При этом на примере, который мне выслан был договор от 2024 года, я хочу отметить следующее.
502634	505416	У нас есть пункт 3.1 договора.
505436	513803	Он устанавливает размер как раз-таки платы за услуги, и он определён был на 2024 год 430 рублей.
513903	523311	И есть такое указание о том, что согласно пункту 3.12 может быть увеличен на процент инфляции.
523578	540203	Что касается увеличения на процент инфляции, в данном случае у нас есть постановление определения несколько, три штуки от 2018-2019 года Верховного суда, которые два исковых заявления управляющей компании на индексацию,
540183	543148	были отклонены, отказаны.
543228	561499	Есть одно определение, где действительно компания доказала факт увеличения смертной стоимости услуг, о которых только что сказал коллега, и действительно в этот момент произошло по решению суда увеличение суммы платы за услуги.
561665	574403	При этом, исходя из раздела 7 договора, в данном случае у меня от 2024 года, договоры у большинства, как я понимаю, сейчас собственников действуют 5 лет до 2029 года.
574423	585478	Но при этом попозже я уже буду отвечать на вопрос под номером 3, который говорит, что делать тем, кто на данный период времени уже должен перезаключить.
585458	608175	В связи с этим мы понимаем, что тут есть некая коллизия права, возможно, сейчас как раз поэтому мы с вами общаемся, и условия договора в данном случае не содержат, я как уверена, что каждый договор, который подписывался с собственниками, не содержит одностороннего отказа или досрочного прекращения или изменения.
608155	610218	Во вне судебном порядке.
610238	623737	В связи с этим, соответственно, досрочно отказаться сейчас управляющей компанией от исполнения услуг по стоимости определенной ранее по действующим договорам не может.
623797	627903	Иначе в данном случае нарушается гражданский кодекс.
627963	636255	И соответствующий отказ, он будет основанием для спаривания нами данного решения управляющей компанией в суде.
636235	650625	В силу этого заключение нового договора, в том числе путем направления, например, как сейчас Олег сказал, возражений, я согласна, что да, это действительно нужно сделать.
650685	657619	Сейчас, так как уже опубликован публичный договор, который это как оферта, его надо акцептовать.
657599	663828	И сейчас, если мы говорим о законности повышения тарифов, мой ответ – это незаконно.
663848	684518	Договор предусматривает пункты о том, что можно повысить на сумму инфляции, но это нелегитимно с точки зрения определения Верховного суда позиций судов, которые этот пункт договора с большой долей вероятности оспорят о том, что несанкционированное повышение платы идет.
684498	702919	В этом случае, если повышение платы превышает уровень даже инфляции, что у нас в два раза, как мы понимаем, это основание как раз-таки, как и коллеги сейчас говорили, в суд, да, целью возложения обязанности перерасчета задолженности, который, как я понимаю, уже на жильцов начисляют.
702979	707464	Уже сейчас у большинства граждан имеется задолженность.
707524	709847	И это как раз-таки оплачивать...
709827	718529	Ну да, действительно, у многих бывает так, что оплата происходит автоматическое списание, если подключено автоматическое с банком соглашение.
718709	721356	Тут мы можем не переживать, все-таки тогда на...
722011	735490	Мы этот момент оспариваем в суде, на второй стороне, на обслуживающей организации возникает неосновательное обогащение, которое впоследствии взыскивается как по встречному исковому заявлению.
736011	745504	При этом я думаю, что я подожду еще в своей очереди в третьем вопросе, и более широко мы с вами раскроем тему, как нам дальше действовать и что сделать.
745771	749738	И сейчас, здесь сейчас мы можем применить защиту своих интересов.
749778	750720	Спасибо.
750740	751621	Анна, спасибо большое.
752363	755408	Товарищи юристы, представляйтесь, пожалуйста, кто вы, что вы.
755428	760577	Соседи пишут, что не понимают, кого вы представляете.
760637	765265	Анна, берите, пожалуйста, руку, чтобы уже высказать.
766105	769374	Добрый день, коллеги.
769394	774567	Руководитель практики недвижимости компании Сберправо.
774668	782308	Сегодня хотелось бы рассказать немножечко о том, как мы проанализировали пять договоров.
782288	798292	Жильцов, собственников и нашли, соответственно, разногласия в этих договорах, учитывая, что пунктом 1.4 каждого из этого договора установлено, что условия... Простите, пожалуйста, у нас был первый вопрос.
798453	800736	Есть по существу первого вопроса?
800716	823099	Конечно, коллегия отчасти согласна с ними, однако нужно заметить, что нормы жилищного права, как указал Конституционный суд в 2021 году, они все-таки не будут применяться тут, поскольку нарушается баланс прав и интересов между собственниками и управляющей компанией.
823119	828985	Об этом Конституционный суд неоднократно заявлял, поэтому вот тут хотелось бы поправить коллегу.
828965	834456	По поводу того, что говорила Анна, абсолютно согласна.
834516	845016	Заключены индивидуальные договоры, соответственно, каким-либо способом их поменять, изменить, возможно, только либо расторгнув их,
844996	861501	При этом они все срочные, и мы как потребители можем в одностороннем порядке отказаться от этого договора, а управляющая компания, как более сильная сторона этого договора, отказаться и сделать этого не может.
861521	873639	Поэтому это публичная аффекта, по факту для жильцов, у которых есть индивидуальные договоры, заключенные с ними, не имеет правового значения на сегодняшний день.
873699	874260	Благодарю.
875405	877167	Уточнение.
877307	878649	Читайте, пожалуйста, чат.
878689	884397	Давайте мы в чат будем сбрасывать вопросы, чтобы видели и соседи, и вы.
884477	889303	И уточнение от соседей абсолютно правильное, что у нас не управляющая компания.
889323	891646	У нас нет официально управляющей компании.
891666	896012	У нас ООО «Комфорт», которым выключен договор на обслуживание.
897410	899594	Конечно, мы это понимаем.
899614	902380	Безусловно, мы ознакомились с договорами.
902460	909133	Тут позиционируют себя они как обслуживающая компания, как управляющая компания.
909494	911779	Поэтому об этом и идет речь.
911839	916448	Они именно поэтому и хотят заключить публичный договор, но они не понимают, что...
916428	922415	вид разрешенного использования земельных участков для ведения садоводства.
922735	925979	То есть это все нами, естественно, изучалось, рассматривалось.
926099	928842	Я имею в виду, как позиционирует себя вторая сторона.
929843	931344	Хорошо, спасибо.
931465	935709	Если больше нет дополнений, давайте пойдем ко второму вопросу.
935829	940174	Сергей, второй вопрос в чат вывесите, пожалуйста.
940194	943718	И у нас Сбер отвечает на второй вопрос подробно.
944018	947345	А остальные добавляют, если есть что добавить.
947646	949570	Простите, не вижу вопрос.
949630	955463	Сейчас, секундочку.
963948	975659	Насколько я помню, я не вижу вопрос до сих пор, но чтобы не занимать то же время, устанавливается, насколько помню, там про изменение тарифа был вопрос.
975679	976780	Насколько правомерно.
976840	978422	Насколько правомерно.
978482	980784	Это действительно неправомерно.
980824	988772	Как уже неоднократно и коллегами, и нами заявлялось, что заключены индивидуальные переговоры.
988832	993516	Если ознакомиться с пунктом 3.1,
1002473	1004687	Продолжение следует...
1019585	1021969	даже не написано, каким образом.
1022029	1037036	Плюс нужно отметить, что в разных договорах указано абсолютно разное уведомление, способ уведомления жильцов об изменении тарифа.
1037056	1041323	При этом, насколько я понимаю, ООО
1044695	1064758	тарифа, возможно, в чате жильцов, но, опять же, это не надлежащее уведомление, поскольку на основании пункта договоров, опять же, во всех договорах все по-разному, это либо размещение на стенде, ну, вообще, по-хорошему, компания должна это сделать письменно и, соответственно, заключить дополнительное соглашение.
1064778	1070365	У нас этих дополнительных соглашений я не видела, поправьте меня, если...
1070345	1075697	Это не так. Вижу вопрос жильцов, что...
1077432	1081298	И вид разрешенного использования не у всех ведения садоводства.
1081338	1082039	Это я понимаю.
1082079	1089530	Я имела в виду, что договоры, которые я изучила, и кадастровые номера, которые я видела, там было для ведения садоводства.
1089870	1105093	Поэтому тут тоже практика разнится, о чем мы изначально и говорили, что каждый договор и каждую ситуацию нужно будет изучать в отдельности, потому что у всех отличается и вид разрешенного использования, и индивидуальные договоры.
1105073	1106019	Спасибо большое.
1106059	1107469	Давайте по второму вопросу.
1107529	1109059	Я расшарила второй вопрос.
1110052	1113977	Минуту еще можно добавлю коллегу.
1113997	1138287	Все-таки, да, как между странами договорные отношения, да, и если мы, в общем, норму гражданского кодекса будем склоняться, например, там возьмем статью 450, которая у нас говорит, что невозможно изменение в одностороннем порядке условий договора, а данное условие у нас является существенным, что в целом также подтверждает нарушение прав собственников именно.
1138267	1139769	Второй момент.
1139829	1145959	Как минимум должно быть уведомление, если мы исходим опять из гражданских правоотношений.
1146019	1156094	То есть страна, которая хочет изменить какие-либо условия или внести какие-то изменения, она уведомляет за 30 дней до внесения изменений.
1156294	1157997	Допустим, это...
1157977	1172728	Уведомление, ну, не допустим, это уведомление направляется сторонам для надлежащего подтверждения, это либо Почта России, либо если у них есть общий чат, общий доступ к сайту, то вывешивается, соответственно, там.
1173383	1188405	Правильно, до этого мой коллега сказал, что помимо уведомления есть определенное финансово-экономическое обоснование, которое идет как приложение к данному уведомлению обосновать, почему идет рост тех или иных расходов.
1188385	1199001	это вот к вопросу, если я обращаюсь, да, то также говорить, что это неправомерно, то есть не может в одностороннем порядке компания сама по себе увеличить.
1199041	1211440	И более того, в некоторых договорах, которые, возьмем, более старые, заключенные до 2020 года, там вообще не сказано, что в одностороннем порядке, ну, в целом, изменение условий.
1211420	1216855	То есть сторона, с которой заключается, не имеет права вносить какие-то изменения.
1216895	1226121	Здесь мы уже больше говорим о пролонгации, потому что у кого-то он срочный, у кого-то он срочный до определенного числа, но если человек...
1226472	1233941	вот как уже больше к оферте относятся к ЦПДУ, то есть вносят какую-то следующую оплату, он продолжает действовать на этих же условиях.
1233961	1245955	Но как мы видим, что условия совершенно разные, если мы возьмем 2018 год и на сегодняшний день, что также нарушает требования потребителя конкретного договора.
1246275	1256327	Ну и если мы говорим о публичности договора, то анализируя вообще практику всех судов, которая правильно подтверждает
1256881	1270924	Это является злоупотреблением права со стороны у нас компании на сегодняшний день, которая в одностороннем порядке позволяет себе вносить или иметь изменения без согласования, без заключения дополнительных соглашений.
1271782	1273444	без уведомлений и так далее.
1273464	1300472	Здесь уже, да, помимо претензий, можно было бы еще привлечь сюда такой орган, как прокуратуру, которую написать жалобу для, ну, будем говорить простым языком, для ключа к давлению до подачи искового заявления в суд. Понятно, что основной вопрос все-таки будет введение к единообразию, да, с определенными условиями.
1300452	1322629	которые будут устраивать и говорить о том, что, допустим, по утвержденному постановлению Московской области, которые отвечают за тарифы, и исходя из этих тарифов, исходя из разумных каких-то рамок и пределов, уже выходить в
1322609	1331995	для расторжения действующих договоров и заключения, ну, соответственно, приводя его к единобразию и к определенным условиям.
1333983	1363045	Это если мы анализируем судебную практику, которую... ...вижу в вопросах, также то, что мы опираемся на какие-то вопросы из гаранта, однако надо сказать, что у нас большой опыт, например, у меня есть 8 лет опыта в Московском городском суде, помощником, то есть помощником председателя, то есть я прекрасно понимаю эту работу изнутри.
1363025	1370852	То есть это не голословные какие-то факты, а это действительно моя практика.
1370872	1374175	Поэтому я понимаю, как это работает.
1374315	1380581	Тут еще задают вопрос, законна ли публичная оферта.
1381041	1384685	Опять же, почему я говорила про управляющую компанию.
1384705	1393032	Потому что собственник земельных участков, дорог, ООО «Комфорт».
1393012	1411193	Он себя позиционирует как управляющая компания, поэтому он пытается привести все договоры в единообразие, поскольку у него во всех индивидуальных договорах прописано в пункте 1.4, что условия настоящего договора являются одинаковыми для всех клиентов.
1411213	1415698	Он пытается подстраховать себя и устранить ошибки, которые были ранее.
1415738	1419643	Видимо, он работал без юриста или не знаю, кто ему составлял договоры.
1419623	1426135	Но именно для этого он это и пытается сделать, чтобы себя как-то обезопасить.
1426155	1427898	Спасибо.
1428799	1429601	Спасибо большое.
1429661	1433989	По второму вопросу есть дополнение?
1434309	1436253	Могу я сказать свое слово?
1436293	1437335	Сергей говорит.
1437435	1438577	Да, Сергей, пожалуйста.
1440160	1466860	Да, то есть я очень согласен и в полном объеме согласен с теми, кто сказал выше, с юристами, все они правильно сказали, но тем не менее, еще раз хотел бы добавить, что да, все это дело незаконно, но оно может стать законным, если бы они представили нам какие-то документы,
1467582	1473830	об изменении рыночной стоимости услуг на момент подписания договора.
1473950	1478696	Если нет такого документа, то подается претензия.
1478756	1480919	То есть мы должны с вами подать претензию.
1480959	1497319	Затем в суд о том, что требования об изменении тарифа незаконны, что вызовет необоснованное обогащение компании, которая предъявляет нам какие-то требования.
1497873	1509435	где суд проведет финансово-экономическую экспертизу, если мы с вами попросим, и таким образом установит, правильно это все или неправильно.
1509820	1528960	Они должны представить как минимум, просто если говорить, смету и финансово-экономическое обоснование, на основании чего они повышают свои цены на тарифы и поэтому вносят изменения в договор.
1528940	1536760	А так просто изменить с 200 на 700 – это ни о чём, понимаете?
1536820	1538524	Они просто не имеют права.
1538545	1541532	То есть в любом случае… Мы это уже поняли, Сергей, мы это уже поняли.
1541552	1542996	Спасибо большое.
1543096	1544620	Есть ещё дополнение, Анна?
1546237	1552991	Да, у меня достаточно глобальное сейчас будет дополнение, смотря какие мы преследуем с вами цели.
1553011	1565899	Мы можем сейчас бесконечно обсуждать в тот момент то, что мы можем направить претензию, писать возражения, подавать иски в суд. От этого легче на нынешний момент, как я понимаю, собственником не станет, потому что…
1565879	1584985	Изучив всю практику, связанную именно с этой управляющей компанией, именно с этим генеральным директором, который сейчас сидит еще на должности, я лицезрела и сделала большой анализ, связанный с происшествиями административного характера, уголовного характера.
1584965	1592397	то каким образом начинаются чиниться препятствия собственникам жилья, когда кто-то с чем-то не согласен.
1592417	1599548	Мы сейчас понимаем, что сейчас зимний период, у них в смертной стоимости заложена, например, очистка дорог.
1599608	1604155	И в случае, если сейчас начнется агрессивное наступление дорог,
1604135	1621243	в противостоянии с вашей компанией, то мы понимаем, что будут кучи снега наваливаться к тем жильцам под двери, которые больше всего выступают за то, чтобы, например, каким-то образом сплотить всех.
1621263	1629777	Поэтому нужно понимать и быть готовыми к тому, что будут агрессивные действия со стороны вашей компании.
1629857	1631239	И еще главный момент.
1631945	1638458	Какое у меня предложение, потому что я громкими делами в нашей стране занимаюсь 10 лет.
1638498	1643307	У меня юридическое агентство непростое, у меня агентство юридических и журналистских расследований Анны Фроловой.
1643327	1645952	Вы, в принципе, можете себе почитать в интернете.
1646033	1650882	И у меня большое количество громких дел экранизированных на федеральных каналах еженедельно.
1650862	1659055	Я в прайм-тайме вот придаю огласки с «Россией-1», «Вести», вот такого рода подобные споры.
1659075	1661920	Какой результат я бы видела?
1662000	1669292	Да, действительно, нужно сейчас составлять коллективную претензию на тот публичный договор, который был опубликован.
1669272	1682995	И при этом я бы на вашем месте все-таки выделила инициативную группу, которые готовы будут говорить во всеуслышание, которые понимают и принимают на себя те риски, о которых я только что сказала.
1713164	1714948	придется тоже с этим столкнуться.
1714988	1719199	Методы управляющих компаний, они рейдерские, и они будут так действовать.
1719259	1728962	И нам нужно понимать, что нам не просто юридическая компания сейчас нужна, но вам самостоятельно нужно сейчас объединиться и быть готовыми к тому, что вам придется...
1728942	1738797	Как мои коллеги из Сберправо правильно заметили, это обращение в различные структуры, кроме суда, и просто переписки сейчас с этой компанией.
1738818	1747171	Вам нужно действительно заявлять и в органы прокуратуры, рассказывать в письме о всем том, что происходило до этого.
1747191	1751878	Также это, конечно же, Роспотребнадзор вам оказывают услуги сейчас.
1751858	1753822	Вы имеете на это право.
1753882	1756709	И быть готовыми к придаче дела о глазке.
1756749	1759034	Как работают журналисты, я вам сейчас расскажу.
1759074	1763524	Подобного рода кейсы действительно вы можете лицезреть сейчас в новостях постоянно.
1763544	1767252	То есть вопрос войны с...
1767232	1774820	Управляющими компаниями, обслуживающими компаниями в поселках, особенно в дорогих поселках на Новой Риге, но они повсеместные.
1774861	1776582	Это глобальная проблема.
1776602	1789197	Поэтому сейчас вы должны осознавать, что если есть у вас инициативная группа, журналисты просто берут дело, выезжают к вам и начинают у вас у всех брать интервью, фиксировать переписки, фиксировать все документы.
1789217	1791439	То есть вы должны стать публичными.
1791499	1794943	Вы хотя бы человек 20 должно быть.
1794923	1803639	При этом, что касается судов, сейчас уже те, у кого заканчиваются договоры, вы имеете право обратиться в суд с иском уже об оспаривании.
1803679	1804981	Причем можно коллективным.
1805021	1807065	Коллективный иск от 20 человек.
1807105	1812274	Потом туда уже можно присоединиться еще людям через уточнение требований.
1812254	1813597	Это не проблема.
1813677	1821455	Но перед этим нужно вот такой плацдарм работы проделать, чтобы себя безопасить на тот период судов, пока они идти будут.
1821495	1830195	Вы должны дать управляющих компаний понять, что вы сплотились и обратно дороги нет, потому что завтра придет кто-нибудь,
1830175	1833722	плюнет на это все и подпишет собственноручно договор.
1833762	1838611	А потом второй, третий, десятый, и у вас зайдет как бы разделение.
1838651	1839833	И что делать будете?
1839853	1841015	Вот это вопрос.
1841035	1846004	Поэтому сейчас мой совет действительно нам определить стратегию и план защиты.
1846065	1847948	Если у вас есть инициативная группа,
1847928	1863607	Я еще сама не приняла решение, готова ли я, например, если вы выберете мою компанию работать с вами, я тоже еще не приняла решение, потому что я не понимаю, какую стратегию, тактику по вашему делу выбирать с точки зрения безопасности, исключительно поэтому.
1863627	1868694	Потому что не хочу, чтобы в очередной раз мне прокалывали шины возле моего офиса или еще где-нибудь.
1868734	1872298	У вас тоже это грозит, потому что, как я понимаю, у вас такое уже было.
1872498	1878785	Поэтому да, у меня в принципе все, я скоро перейду к своему блогу, но я уже в принципе-то все и сказала.
1878865	1881668	Да, спасибо большое.
1881728	1883931	Добрый вечер, это Сергей.
1884211	1898927	Я с уважением и с очень большим вниманием выслушал то, что сказал наш уважаемый гость, так же, как и я, по поводу журналистики, по поводу...
1899734	1901917	Да, очень приятно, Анна Андреевна.
1901957	1903740	Меня Сергей Юрьевич зовут.
1905001	1908186	Очень приятно, и правильно вы все сказали.
1908266	1917058	Но здесь, мне кажется, что немножко уровень, который вы предлагаете, его можно немножко снизить.
1917138	1920443	Людям просто, мне кажется, нужно, необходимо подать...
1929468	1950750	Можно подать такую же претензию в Роспотребнадзор, выслушать и узнать, какие будут ответы от них, и после этого уже обращаться в суд. Журналисты, вы великие люди, поэтому к вам обращаются только на крайнем этапе, когда уже...
1951844	1957736	Делать нечего, вы такие великие, что мне кажется, что к вам обращаются только уже когда просто.
1957776	1963528	Хорошо, прощайте, мы говорим только с вами давайте по существу и по существу вопроса.
1963628	1968177	Спор здесь неуместен, каждый высказал свое мнение, этого вполне достаточно.
1968197	1969220	Благодарю.
1969240	1970803	У нас третий вопрос, если нет.
1970963	1972907	А, у Сбера, пожалуйста.
1973410	1974952	Какие дополнения по второму вопросу?
1974972	1979377	Да, я буквально кратенько хотелось бы дополнить.
1979457	1984584	Я вот абсолютно согласна с Анной, но здесь надо определить, какие у нас все-таки цели.
1984624	1994355	Мы хотим бороться и отстоять свое, что у нас неправомерный заключен договор, неправомерные условия, или все-таки мы хотим привести к единообразию.
1994396	2003046	Если мы идем с вами по первому варианту, мы морально должны быть к этому готовы, и я все-таки полагаю, что досудебный порядок здесь будет очень важен.
2003026	2005349	Правильно, да, претензия нам нужна.
2005850	2012899	Вот рычаги давления, что-то типа прокуратуры, Роспотребнадзора, конечно же.
2012939	2018687	И в первую очередь мы должны запросить смету и, ну, соответственно, финансово-экономическое обоснование.
2018747	2019728	Что нам это даст?
2019768	2020930	Мы это увидим.
2021250	2026517	Есть нарушения действительно, нет нарушений, какая его будет реакция, какие проверки прошли.
2026598	2029962	Но ответит ли это на ваш главный вопрос?
2030110	2040005	Мы об этом, ну, опять же, понимаете, этот вопрос будет стоять достаточно остро, потому что даже если эти нарушения все выявятся, у вас цель какая?
2040065	2043009	Привести договор к единообразию, правильно?
2043049	2046735	Если вы хотите привести к единообразию, это чуть другой предмет спора.
2055170	2064124	вы взыщете определенную какую-то сумму, но опять же, вы будете действовать по своим договорам, которые когда-то заключили.
2064204	2073398	Если все-таки речь у нас сейчас идет о том, что вы хотите прийти к единообразию, то тогда надо начать с досудебного и посмотреть,
2073378	2091597	на реакцию генерального директора, надо посмотреть вообще на ответы, отдаст ли он нам по запросу эту смету, даст ли он нам по запросу финансово-экономическое обоснование, будут ли действительно проводиться какие-то проверки надзорными органами или же нет.
2091657	2095661	И только потом уже принимать решение, с каким иском вам в дальнейшем выходить.
2095701	2098744	Либо расторгать ваши и перезаключать уже...
2099281	2108911	каким-то новым проектом к ним договора выходить, который будет единый, которые будут включены условия, которые вас устраивают, да, ну и, соответственно, на другую сторону.
2108951	2110032	Это уже другой вопрос.
2110052	2114457	То есть здесь надо, наверное, все-таки исходить из того, какие цели вы преследуете.
2114517	2125508	Если просто побороться, то правильно Анна сказала, давайте мы сейчас вам запустим там СМИ, сделаем кучу коллективных жалоб и так далее, но это ваш вопрос основной решит или нет.
2125994	2140744	Если все-таки вы хотите прийти к чему-то другому, то я считаю, что первый вариант – это досудебный порядок, посмотреть на реакцию, но так или иначе, изменять условия договора и приводить его к единообразию – это только суд, и это совершенно другой предмет спора.
2140804	2144391	Ну и нужно тоже добавить, что…
2144371	2152322	Наш, получается, контрагент нарушает в том числе и условия федерального закона о передаче персональных данных.
2152342	2165721	То есть в случае, если вы выберете нашу компанию, то мы также будем обращаться в Роскомнадзор, писать жалобу, потому что на сегодняшний день это тоже огромный рычаг давления.
2165701	2177259	В Российской Федерации у нас на сегодняшний день максимально продвигается отсутствие нарушений данного федерального закона.
2177299	2179302	Поэтому это очень важно.
2179342	2186233	В каждом договоре было прописано о передаче персональных данных, получается, без вашего согласия.
2186293	2191962	Куда он их передавал, я боюсь представить, в какие еще...
2192718	2199266	Историю вы можете попасть.
2199326	2201689	Вот то, что... Можно я вас приводлю?
2201709	2207896	Я выслушал, что у вас очень все правильно, все актуально.
2208077	2210239	Но это не решит наши проблемы.
2210279	2211761	Все это нужно сделать.
2211801	2217628	И подать претензию, и подать в Роспотребнадзор, и может быть...
2218587	2221154	дойти до суда.
2221254	2230701	Но, тем не менее, чтобы нам решить вопрос и чтобы быть независимыми, нам нужно создать просто СНТ, ТСН.
2230761	2233609	То есть надо взять семь...
2233589	2261858	человек, которые создадут эту компанию и потом уйти от всего этого, зарегистрироваться, уйти от компании, которая нас обслуживает и просто создать свою компанию и уже на основании взносов, на основании финансово-экономического обоснования и сметы решать все вопросы, получать взносы и содержать свое имущество именно так, как мы хотим.
2261838	2266989	И может быть я не прав, расскажите.
2267009	2267991	Спасибо.
2268212	2273864	Мы сейчас о ТСМ пока не разговариваем вообще.
2273884	2276710	Добрый вечер.
2276830	2280117	Меня зовут Светлана Стонис, юридическая компания «Луч».
2280721	2290359	Я являюсь членом экспертного совета рабочей группы комитета по средствам ЖКХ Госдумы именно по вопросам управления общего имущества, малоэтажных жилых комплексов.
2290379	2294106	Вхожу в рабочую группу правительства Московской области по этим же вопросам.
2295318	2296340	Первое.
2297522	2310665	Надо не забывать, коллеги, что у нас на сегодняшний день все имущество общего пользования, дороги и сети, все инженерные коммуникации находятся в собственности данной обслуживающей организации.
2310705	2311707	Я правильно понимаю?
2316209	2320817	Нет, это собственность, и собственность все в руках частного лица.
2320857	2326507	Частного лица, то есть застройщика, который изначально размежевал земельный участок, вам его продал.
2326547	2333679	Данная организация создана этим же собственником, этим же застройщиком.
2333699	2334100	Да, да.
2334265	2342969	И здесь ключевой момент, что как бы мы сейчас не воевали с тарифами, пока мы не разберемся... А на каких правах?
2342989	2345636	В аренде или в собственности?
2346518	2349827	Сергей, я вас очень прошу, не нужно устраивать дебаты.
2350229	2353535	Человеку разговаривает, ему дали слово.
2353575	2358404	А вот, значит, у нас это находится в частной собственности застройщик.
2358444	2366078	И по сути получается, что он находится в позиции монополиста, он будет диктовать условия ровно так, как ему это выгодно.
2366243	2378406	Он не случайно заключил договор обслуживания, а не договор управления общим имуществом котельного поселка, потому что он таким образом дал бы нам шанс оспорить это право частной собственности.
2378466	2384577	И прозвучало мнение, что он это делал без юристов, как раз-таки он делал это с юристами, это вся осознанная история.
2384617	2387863	Поэтому сейчас ключевой момент в чем?
2387843	2403096	То, что вот коллеги говорили о том, что Конституционный суд сказал, что принцип по многоквартирным домам, где как раз регулируется установление тарифа, Конституционный суд сказал, что он неприменим к малоэтажным жилым комплексам.
